i,j,k,l,result
5,"('bmi', 'children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7937460199238864
5,"('bmi', 'children', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7986896976634253
5,"('bmi', 'children', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.02629805316308631
5,"('bmi', 'children', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.02629805316308631
5,"('bmi', 'children', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.02629805316308631
5,"('bmi', 'children', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.02629805316308631
5,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7938778283008285
5,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7953917164567127
5,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7955546897994799
5,"('bmi', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.793237485555834
5,"('bmi', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7925770558279593
5,"('bmi', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7983693393382703
5,"('bmi', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.0023139191209653465
5,"('bmi', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.0023139191209653465
5,"('bmi', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.0023139191209653465
5,"('bmi', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.0023139191209651244
5,"('bmi', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7976310466425099
5,"('bmi', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.79763104664251
5,"('bmi', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7976310466425102
5,"('bmi', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.79763104664251
5,"('bmi', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.029788058551757035
5,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.6680743575048113
5,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6751826129027201
5,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.674770805088921
5,"('children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.6704944145769409
5,"('children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6638677111638739
5,"('children', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6745280718386049
5,"('children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.013599413841900665
5,"('children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.013599413841901109
5,"('children', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.013599413841900665
5,"('children', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.013599413841900887
5,"('children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.6787560415666254
5,"('children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.6787560415666254
5,"('children', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.6787560415666252
5,"('children', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6787560415666254
5,"('children', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.007175294040099978
5,"('sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.6694849445709913
5,"('sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.6694849445709918
5,"('sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.6694849445709921
5,"('sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.669484944570992
5,"('sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.012421186517034943
5,"('smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6770589755782583
6,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.884072152459934
6,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.8797549463487437
6,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.8833417667308945
6,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.8832645783172484
6,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.0669499446068107
6,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.06563074688082993
6,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.0751071019842694
6,"('age', 'bmi', 'children', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.06408556895164785
6,"('age', 'bmi', 'children', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.07268757825918204
6,"('age', 'bmi', 'children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.07456999667162212
6,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.8843078427301132
6,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.8849422473949823
6,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.8842406080853815
6,"('age', 'bmi', 'children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.8803222192194834
6,"('age', 'bmi', 'children', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.8811067168722335
6,"('age', 'bmi', 'children', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.885777394575112
6,"('age', 'bmi', 'children', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.093438544233717
6,"('age', 'bmi', 'children', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.09343854423371689
6,"('age', 'bmi', 'children', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.093438544233717
6,"('age', 'bmi', 'children', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.09343854423371667
6,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.8823813510267985
6,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.8840966583434351
6,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.8820659901313452
6,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.8797820482841955
6,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.878971846759937
6,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.8849563884381414
6,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.08583497471518686
6,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.08583497471518686
6,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.08583497471518686
6,"('age', 'bmi', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08583497471518653
6,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.8829923138486083
6,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.8829923138486083
6,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.8829923138486084
6,"('age', 'bmi', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8829923138486084
6,"('age', 'bmi', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.11302905212694048
6,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7632327284837584
6,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7723250386639562
6,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7695700574776586
6,"('age', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7629127367331193
6,"('age', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7588719022788017
6,"('age', 'children', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7691747427188057
6,"('age', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.06372283929568834
6,"('age', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.063722839295688
6,"('age', 'children', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.06372283929568834
6,"('age', 'children', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.063722839295688
6,"('age', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7687330041656385
6,"('age', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7687330041656383
6,"('age', 'children', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7687330041656388
6,"('age', 'children', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7687330041656384
6,"('age', 'children', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.07352682854856984
6,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7646188372073297
6,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7646188372073295
6,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7646188372073298
6,"('age', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7646188372073307
6,"('age', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08135081718505621
6,"('age', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7692343242019082
6,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7928675472271945
6,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7934191734054534
6,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.795827331103728
6,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.792439970876934
6,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.7924547073575352
6,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7973518585651777
6,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.0008372503475606585
6,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.0008372503475606585
6,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.0008372503475606585
6,"('bmi', 'children', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.0008372503475608806
6,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7976993351763089
6,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7976993351763089
6,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7976993351763092
6,"('bmi', 'children', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7976993351763091
6,"('bmi', 'children', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.02629805316308631
6,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7950271748720468
6,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7950271748720468
6,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7950271748720468
6,"('bmi', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7950271748720468
6,"('bmi', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.0023139191209653465
6,"('bmi', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7976310466425099
6,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.6715581639608487
6,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.6715581639608492
6,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.671558163960849
6,"('children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6715581639608488
6,"('children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.013599413841900887
6,"('children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6787560415666256
6,"('sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.6694849445709914
7,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.8830148776603041
7,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.8838224991991088
7,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.8829724031665803
7,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.8799226966606192
7,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.8806635406909342
7,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.8854978080180469
7,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.06264060807238858
7,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.06264060807238891
7,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.06264060807238891
7,"('age', 'bmi', 'children', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.06264060807238869
7,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.88374653217812
7,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.88374653217812
7,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.8837465321781202
7,"('age', 'bmi', 'children', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8837465321781202
7,"('age', 'bmi', 'children', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.09343854423371722
7,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.8814934649654743
7,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.8814934649654743
7,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.8814934649654744
7,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8814934649654744
7,"('age', 'bmi', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08583497471518653
7,"('age', 'bmi', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8829923138486083
7,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7644981320953542
7,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7644981320953547
7,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7644981320953546
7,"('age', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7644981320953543
7,"('age', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.063722839295688
7,"('age', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7687330041656387
7,"('age', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7646188372073299
7,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7950071778695273
7,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7950071778695275
7,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7950071778695271
7,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7950071778695273
7,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.0008372503475608806
7,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7976993351763092
7,"('bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7950271748720468
7,"('children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.671558163960849
8,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.8825298972468522
8,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.882529897246852
8,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.882529897246852
8,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8825298972468522
8,"('age', 'bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.06264060807238891
8,"('age', 'bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8837465321781202
8,"('age', 'bmi', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8814934649654743
8,"('age', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7644981320953546
8,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7950071778695273
9,"('age', 'bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.8825298972468522
