i,j,k,l,result
3,"('children', 'sex_female', 'region_southwest')",1,6,-0.0038014318185726204
3,"('children', 'smoker_no', 'region_northeast')",1,6,0.6806429590626673
3,"('children', 'smoker_no', 'region_northwest')",1,6,0.6677945890408292
3,"('children', 'smoker_no', 'region_southeast')",1,6,0.6786703423788666
3,"('children', 'smoker_no', 'region_southwest')",1,6,0.6752060470798265
3,"('children', 'region_northeast', 'region_northwest')",1,6,-0.010744822712834612
3,"('children', 'region_northeast', 'region_southeast')",1,6,-0.007942062172715314
3,"('children', 'region_northeast', 'region_southwest')",1,6,-0.006006794097127344
3,"('children', 'region_northwest', 'region_southeast')",1,6,-0.008799570653561295
3,"('children', 'region_northwest', 'region_southwest')",1,6,-0.007423225341393946
3,"('children', 'region_southeast', 'region_southwest')",1,6,-0.006936368817873628
3,"('sex_female', 'smoker_no', 'region_northeast')",1,6,0.67286217457572
3,"('sex_female', 'smoker_no', 'region_northwest')",1,6,0.6612214003957619
3,"('sex_female', 'smoker_no', 'region_southeast')",1,6,0.6757636479667464
3,"('sex_female', 'smoker_no', 'region_southwest')",1,6,0.6676827907414602
3,"('sex_female', 'region_northeast', 'region_northwest')",1,6,-0.015940930426983524
3,"('sex_female', 'region_northeast', 'region_southeast')",1,6,-0.013201768876876185
3,"('sex_female', 'region_northeast', 'region_southwest')",1,6,-0.008997015917070028
3,"('sex_female', 'region_northwest', 'region_southeast')",1,6,-0.010860734425299556
3,"('sex_female', 'region_northwest', 'region_southwest')",1,6,-0.0033078321614985473
3,"('sex_female', 'region_southeast', 'region_southwest')",1,6,-0.008614743267457259
3,"('smoker_no', 'region_northeast', 'region_northwest')",1,6,0.674675288634254
3,"('smoker_no', 'region_northeast', 'region_southeast')",1,6,0.6823295184511826
3,"('smoker_no', 'region_northeast', 'region_southwest')",1,6,0.6797945330732134
3,"('smoker_no', 'region_northwest', 'region_southeast')",1,6,0.6744347062403291
3,"('smoker_no', 'region_northwest', 'region_southwest')",1,6,0.6673663632223261
3,"('smoker_no', 'region_southeast', 'region_southwest')",1,6,0.6786465480687898
3,"('region_northeast', 'region_northwest', 'region_southeast')",1,6,-0.0064895400092024325
3,"('region_northeast', 'region_northwest', 'region_southwest')",1,6,-0.0064895400092024325
3,"('region_northeast', 'region_southeast', 'region_southwest')",1,6,-0.0064895400092024325
3,"('region_northwest', 'region_southeast', 'region_southwest')",1,6,-0.0064895400092024325
4,"('age', 'bmi', 'children', 'sex_female')",1,6,0.0818162852859533
4,"('age', 'bmi', 'children', 'smoker_no')",1,6,0.8826693356852875
4,"('age', 'bmi', 'children', 'region_northeast')",1,6,0.10283803524960355
4,"('age', 'bmi', 'children', 'region_northwest')",1,6,0.09598045103977892
4,"('age', 'bmi', 'children', 'region_southeast')",1,6,0.10371969301663375
4,"('age', 'bmi', 'children', 'region_southwest')",1,6,0.10919020934226031
4,"('age', 'bmi', 'sex_female', 'smoker_no')",1,6,0.8828965745851151
4,"('age', 'bmi', 'sex_female', 'region_northeast')",1,6,0.09609412787024618
4,"('age', 'bmi', 'sex_female', 'region_northwest')",1,6,0.09405348207066999
4,"('age', 'bmi', 'sex_female', 'region_southeast')",1,6,0.09588730157292003
4,"('age', 'bmi', 'sex_female', 'region_southwest')",1,6,0.10360126849860263
4,"('age', 'bmi', 'smoker_no', 'region_northeast')",1,6,0.8856073587921339
4,"('age', 'bmi', 'smoker_no', 'region_northwest')",1,6,0.8802521095406888
4,"('age', 'bmi', 'smoker_no', 'region_southeast')",1,6,0.8847900131879518
4,"('age', 'bmi', 'smoker_no', 'region_southwest')",1,6,0.8828169757348016
4,"('age', 'bmi', 'region_northeast', 'region_northwest')",1,6,0.11312102518257938
4,"('age', 'bmi', 'region_northeast', 'region_southeast')",1,6,0.11869947010699089
4,"('age', 'bmi', 'region_northeast', 'region_southwest')",1,6,0.12136352825284813
4,"('age', 'bmi', 'region_northwest', 'region_southeast')",1,6,0.11200660521999306
4,"('age', 'bmi', 'region_northwest', 'region_southwest')",1,6,0.1157282526354445
4,"('age', 'bmi', 'region_southeast', 'region_southwest')",1,6,0.12300413929593579
4,"('age', 'children', 'sex_female', 'smoker_no')",1,6,0.7675264959072845
4,"('age', 'children', 'sex_female', 'region_northeast')",1,6,0.06572283667552214
4,"('age', 'children', 'sex_female', 'region_northwest')",1,6,0.0687944924843179
4,"('age', 'children', 'sex_female', 'region_southeast')",1,6,0.06719216397968308
4,"('age', 'children', 'sex_female', 'region_southwest')",1,6,0.07301322954105893
4,"('age', 'children', 'smoker_no', 'region_northeast')",1,6,0.7750977893073624
4,"('age', 'children', 'smoker_no', 'region_northwest')",1,6,0.7612771040976216
4,"('age', 'children', 'smoker_no', 'region_southeast')",1,6,0.7727056926931957
4,"('age', 'children', 'smoker_no', 'region_southwest')",1,6,0.7693938488117342
4,"('age', 'children', 'region_northeast', 'region_northwest')",1,6,0.06820201053492192
4,"('age', 'children', 'region_northeast', 'region_southeast')",1,6,0.07677440351656895
4,"('age', 'children', 'region_northeast', 'region_southwest')",1,6,0.07402424202919489
4,"('age', 'children', 'region_northwest', 'region_southeast')",1,6,0.07356875732590196
4,"('age', 'children', 'region_northwest', 'region_southwest')",1,6,0.07218531516306559
4,"('age', 'children', 'region_southeast', 'region_southwest')",1,6,0.07511397167598921
4,"('age', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.772316346426871
4,"('age', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7576170413563397
4,"('age', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7720970158512462
4,"('age', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7656029535790839
4,"('age', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.0771291876134097
4,"('age', 'sex_female', 'region_northeast', 'region_southeast')",1,6,0.08417434571285909
4,"('age', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.08609281174138239
4,"('age', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.08303130983683527
4,"('age', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.08768396041163729
4,"('age', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.08460920664544114
4,"('age', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7683832492921343
4,"('age', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7774405736139356
4,"('age', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7743409457806285
4,"('age', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7663458512237032
4,"('age', 'smoker_no', 'region_northwest', 'region_southwest')",1,6,0.761884928598828
4,"('age', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.77235905402693
4,"('age', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.08671122567587286
4,"('age', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.08671122567587253
4,"('age', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.08671122567587286
4,"('age', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08671122567587264
4,"('bmi', 'children', 'sex_female', 'smoker_no')",1,6,0.7917140943301609
4,"('bmi', 'children', 'sex_female', 'region_northeast')",1,6,0.0072387459114503505
4,"('bmi', 'children', 'sex_female', 'region_northwest')",1,6,0.010780014578291364
4,"('bmi', 'children', 'sex_female', 'region_southeast')",1,6,0.005910094722753723
4,"('bmi', 'children', 'sex_female', 'region_southwest')",1,6,0.02199376045238033
4,"('bmi', 'children', 'smoker_no', 'region_northeast')",1,6,0.7956291667773484
4,"('bmi', 'children', 'smoker_no', 'region_northwest')",1,6,0.7909744632495046
4,"('bmi', 'children', 'smoker_no', 'region_southeast')",1,6,0.7948846354097111
4,"('bmi', 'children', 'smoker_no', 'region_southwest')",1,6,0.7958317296336769
4,"('bmi', 'children', 'region_northeast', 'region_northwest')",1,6,0.02791769250776066
4,"('bmi', 'children', 'region_northeast', 'region_southeast')",1,6,0.025587233314396607
